"Area Type"," Area"," Area Name"," Standard Occupational Code"," Occupational Title"," Employment","Mean Wage"," Median Wage"," Entry Wage"," Experienced Wage                                                                                                                                                                                                                                             "
"1","36","New York State","19-2042","Geoscientists, Except Hydrologists and Geographers","700","$98,154","$87,215","$67,087","$113,687"
"1","36","New York State","19-2043","Hydrologists",,"$93,434","$86,614","$65,569","$107,367"
"1","36","New York State","19-2099","Physical Scientists, All Other","1,600","$123,299","$117,543","$76,326","$146,786"
"1","36","New York State","19-3011","Economists","870","$174,130","$146,171","$87,653","$217,369"
"1","36","New York State","19-3022","Survey Researchers","370","$86,630","$84,795","$52,149","$103,871"
"1","36","New York State","19-3033","Clinical and Counseling Psychologists","7,190","$116,047","$102,630","$69,176","$139,483"
"1","36","New York State","19-3034","School Psychologists","7,250","$106,400","$102,008","$70,979","$124,111"
"1","36","New York State","19-3039","Psychologists, All Other","870","$110,393","$116,825","$61,463","$134,858"
"1","36","New York State","19-3041","Sociologists",,"$115,113","$133,716","$74,691","$135,323"
"1","36","New York State","19-3051","Urban and Regional Planners","2,100","$102,754","$97,313","$65,425","$121,419"
"1","36","New York State","19-3091","Anthropologists and Archeologists","310","$66,844","$54,243","$42,378","$79,076"
"1","36","New York State","19-3093","Historians","420","$62,515","$53,027","$34,390","$76,577"
"1","36","New York State","19-3099","Social Scientists and Related Workers, All Other","3,090","$105,542","$105,357","$73,364","$121,631"
"1","36","New York State","19-4012","Agricultural Technicians",,"$51,533","$48,165","$39,605","$57,498"
"1","36","New York State","19-4013","Food Science Technicians","750","$58,409","$53,963","$45,565","$64,832"
"1","36","New York State","19-4021","Biological Technicians","5,040","$59,970","$60,349","$41,981","$68,964"
"1","36","New York State","19-4031","Chemical Technicians","2,350","$61,878","$59,292","$44,285","$70,675"
"1","36","New York State","19-4042","Environmental Science and Protection Technicians, Including Health","2,470","$65,991","$60,992","$42,549","$77,712"
"1","36","New York State","19-4043","Geological Technicians, Except Hydrologic Technicians",,"$61,630","$53,013","$43,292","$70,798"
"1","36","New York State","19-4044","Hydrologic Technicians",,"$65,262","$60,165","$43,776","$76,005"
"1","36","New York State","19-4051","Nuclear Technicians",,"$123,010","$124,758","$87,231","$140,899"
"1","36","New York State","19-4061","Social Science Research Assistants","2,990","$66,018","$61,745","$39,695","$79,179"
"1","36","New York State","19-4071","Forest and Conservation Technicians",,"$60,357","$57,874","$44,947","$68,062"
"1","36","New York State","19-4092","Forensic Science Technicians","1,120","$82,655","$80,293","$60,228","$93,870"
"1","36","New York State","19-4099","Life, Physical, and Social Science Technicians, All Other","7,220","$66,759","$64,199","$46,069","$77,105"
"1","36","New York State","19-5011","Occupational Health and Safety Specialists","5,520","$95,021","$89,960","$61,377","$111,843"
"1","36","New York State","19-5012","Occupational Health and Safety Technicians","1,450","$67,059","$63,981","$48,134","$76,522"
"1","36","New York State","21-0000","Community and Social Service Occupations","202,150","$70,985","$63,419","$44,643","$84,156"
"1","36","New York State","21-1012","Educational, Guidance, School, and Vocational Counselors","22,660","$79,826","$71,804","$50,536","$94,472"
"1","36","New York State","21-1013","Marriage and Family Therapists","930","$68,518","$66,788","$50,388","$77,583"
"1","36","New York State","21-1015","Rehabilitation Counselors","2,800","$55,367","$50,030","$39,127","$63,486"
